County FIPS,County Name,State FIPS,State Name,Primary and Commercial Airports,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,% of Poor Condition Bridges,Number of business establishments,Percent of resident workers who commute by transit,Number of resident workers who work at home,Number of workers from other counties who commute to work in the county,Number of resident workers who commute to work in other counties,Number of resident workers who commute within county,Number of resident workers,Number of residents,Total Docks,Total Marinas,Route miles of freight railroad,% of Medium to Fair Condition Bridges,Route miles of passenger railroad and rail transit
01001,Autauga County,1,Alabama,0,1,0,114,0.035087719,869,0.000781893,510,15576,15417,8710,24300,55050,,,50.7,0.964912281,0
01003,Baldwin County,1,Alabama,0,4,28,360,0.019444444,5384,0.002143436,4380,24011,17748,62235,86310,199510,1,0,30.4,0.980555556,0
01005,Barbour County,1,Alabama,0,2,2,193,0.031088083,455,0.003984064,110,2368,1871,6395,8785,26615,0,0,14.7,0.968911917,0
01007,Bibb County,1,Alabama,0,1,0,126,0,284,0.004710145,100,4868,4816,3410,8280,22570,,,25.1,1,5.5
01009,Blount County,1,Alabama,0,1,1,183,0.087431694,698,0.001639344,480,14171,13981,7205,21350,57705,,,13.1,0.912568306,0
01011,Bullock County,1,Alabama,0,1,1,138,0.014492754,107,0.003601441,110,1699,1664,2465,4165,10550,,,,0.985507246,
01013,Butler County,1,Alabama,0,1,3,188,0.053191489,422,0,165,1925,1744,5755,7690,20280,,,45.3,0.946808511,0
01015,Calhoun County,1,Alabama,0,1,5,374,0.037433155,2319,0.002292827,1200,10171,8879,35630,45795,115885,,,65.9,0.962566845,29.3
01017,Chambers County,1,Alabama,0,1,1,184,0.070652174,554,0.002527988,300,8153,3955,5705,13845,34020,,,28.9,0.929347826,0
01019,Cherokee County,1,Alabama,0,1,3,169,0.017751479,361,0.005527638,190,5034,2385,4880,9950,25895,,,,0.982248521,
01021,Chilton County,1,Alabama,0,1,4,189,0.015873016,756,0.000866802,315,8965,8588,8335,17305,43815,,,59.4,0.984126984,0
01023,Choctaw County,1,Alabama,0,1,1,153,0.065359477,257,0,55,1774,632,2375,4145,13285,,,26.7,0.934640523,0
01025,Clarke County,1,Alabama,0,2,1,155,0.006451613,600,0.001747815,80,2219,1898,5800,8010,24845,,,42.9,0.993548387,0
01027,Clay County,1,Alabama,0,1,1,130,0.084615385,185,0.000743494,80,1989,1835,3390,5380,13485,,,28.8,0.915384615,0
01029,Cleburne County,1,Alabama,,,,165,0.109090909,170,0.000717489,130,3866,1530,1705,5575,14990,,,19.7,0.890909091,19.7
01031,Coffee County,1,Alabama,0,2,9,214,0.014018692,985,0.000181901,615,8745,8341,13195,21990,50990,,,4.6,0.985981308,0
01033,Colbert County,1,Alabama,1,0,3,175,0.011428571,1217,0.001155802,345,7543,6889,14095,21630,54375,5,0,70.3,0.988571429,0
01035,Conecuh County,1,Alabama,0,1,1,226,0.084070796,196,0,60,1544,1439,2215,3755,12695,,,39.1,0.915929204,0
01037,Coosa County,1,Alabama,0,0,1,129,0.062015504,96,0.005509642,115,2903,2879,740,3630,10865,,,12.9,0.937984496,0
01039,Covington County,1,Alabama,0,2,1,337,0.03264095,816,0.002111189,255,3022,1795,11095,14210,37730,,,29.2,0.96735905,0
01041,Crenshaw County,1,Alabama,0,1,0,171,0.029239766,214,0.000720721,175,2711,2551,2820,5550,13895,,,,0.970760234,
01043,Cullman County,1,Alabama,0,1,4,245,0.053061224,1739,0.001257466,720,9556,9090,22250,31810,81315,,,24.6,0.946938776,0
01045,Dale County,1,Alabama,1,1,14,203,0,744,0.001218027,485,8650,8208,11845,20525,49605,,,53.4,1,0
01047,Dallas County,1,Alabama,0,1,1,227,0.030837004,721,0.002881844,180,2472,2309,11400,13880,41425,0,0,110.7,0.969162996,0
01049,DeKalb County,1,Alabama,0,1,3,300,0.07,1110,0.000361729,530,7826,5972,19810,27645,70935,,,39.2,0.93,0
01051,Elmore County,1,Alabama,0,1,2,198,0.03030303,1179,0.001680929,685,22320,21916,10380,32720,80955,,,16.2,0.96969697,0
01053,Escambia County,1,Alabama,0,2,3,196,0.035714286,752,0.003408607,110,2625,1743,9120,11735,37875,,,89.6,0.964285714,0
01055,Etowah County,1,Alabama,0,1,2,231,0.043290043,1978,0.002589715,1775,10887,10437,29675,40545,103365,,,59.6,0.956709957,0
01057,Fayette County,1,Alabama,0,1,2,191,0.010471204,299,0.000660611,120,2988,2913,3070,6055,16785,,,20,0.989528796,0
01059,Franklin County,1,Alabama,0,1,0,194,0.051546392,517,0.002460025,245,4498,3648,7690,12195,31575,,,22.9,0.948453608,0
01061,Geneva County,1,Alabama,0,2,8,205,0.03902439,400,0.00039604,345,5665,4809,4420,10100,26765,,,,0.96097561,
01063,Greene County,1,Alabama,0,1,1,206,0.058252427,99,0.010729614,95,1347,1324,980,2330,8585,1,0,69.2,0.941747573,20
01065,Hale County,1,Alabama,0,1,3,178,0.073033708,178,0.000810537,90,3066,3048,1860,4935,15160,,,20.3,0.926966292,16.9
01067,Henry County,1,Alabama,0,2,0,133,0.007518797,297,0.000574713,190,4072,3763,2855,6960,17185,,,27.5,0.992481203,0
01069,Houston County,1,Alabama,0,0,5,246,0.008130081,2720,0.001729306,965,6989,5011,36395,43370,103890,0,0,73.7,0.991869919,0
01071,Jackson County,1,Alabama,0,2,6,313,0.057507987,840,0.000677146,505,7112,4172,13550,20675,52610,2,0,83.6,0.942492013,0
01073,Jefferson County,1,Alabama,1,1,17,1051,0.027592769,16430,0.008999932,7560,35311,32938,257415,292780,659095,4,0,318.4,0.972407231,41.9
01075,Lamar County,1,Alabama,0,1,0,181,0.033149171,246,0.00686948,35,2302,1079,2785,5095,14065,,,37.8,0.966850829,0
01077,Lauderdale County,1,Alabama,0,0,4,265,0.071698113,1996,0.002196099,640,12317,10936,26405,38705,92640,4,0,16.2,0.928301887,0
01079,Lawrence County,1,Alabama,0,1,2,214,0.03271028,404,0.002815768,215,7925,7834,4495,12430,33435,0,0,27.8,0.96728972,0
01081,Lee County,1,Alabama,0,1,3,214,0.046728972,2796,0.008547009,2575,22766,8954,47430,70200,153945,,,60.5,0.953271028,0
01083,Limestone County,1,Alabama,0,1,2,311,0.028938907,1379,0.000789785,1040,20255,19115,17735,37985,90255,3,0,42.1,0.971061093,0
01085,Lowndes County,1,Alabama,0,1,0,157,0.012738854,108,0.004424779,80,2301,2283,1090,3390,10565,0,0,46.7,0.987261146,0
01087,Macon County,1,Alabama,0,1,3,177,0.129943503,198,0.009491525,115,3591,3477,3755,7375,19685,,,26.4,0.870056497,0
01089,Madison County,1,Alabama,1,1,10,690,0.02173913,8454,0.001934002,5120,10254,8048,155125,165460,349975,,,52.5,0.97826087,4.8
01091,Marengo County,1,Alabama,0,1,2,203,0.0591133,465,0.004576659,185,2205,2061,4355,6555,20065,0,0,110.6,0.9408867,0
01093,Marion County,1,Alabama,0,1,1,255,0.019607843,570,0.000347222,300,3945,3334,7580,11520,30240,,,21.4,0.980392157,0
01095,Marshall County,1,Alabama,0,2,2,170,0.088235294,1829,0.003062583,1030,9653,9169,27945,37550,94535,2,0,16.3,0.911764706,0
01097,Mobile County,1,Alabama,1,3,12,592,0.028716216,8813,0.004830064,6625,16427,6640,153190,169770,414290,54,0,151.5,0.971283784,29.9
01099,Monroe County,1,Alabama,0,1,1,145,0.110344828,390,0.002957198,120,1494,1419,4935,6425,21975,,,80.8,0.889655172,0
01101,Montgomery County,1,Alabama,1,0,7,584,0.01369863,5585,0.007097871,3105,8699,7919,91330,100030,227390,1,0,99.6,0.98630137,0
01103,Morgan County,1,Alabama,0,1,4,263,0.015209125,2620,0.002314815,815,16004,15505,33650,49680,119555,7,0,40.6,0.984790875,0
01105,Perry County,1,Alabama,0,1,0,163,0.061349693,121,0,25,1069,1054,1405,2475,9855,,,7.7,0.938650307,0
01107,Pickens County,1,Alabama,0,2,1,239,0.083682008,256,0.004457652,315,3409,2526,3320,6730,20040,,,58,0.916317992,0
01109,Pike County,1,Alabama,0,1,1,202,0.034653465,658,0.006071429,530,1970,1875,12040,14000,33275,,,57.5,0.965346535,0
01111,Randolph County,1,Alabama,0,1,4,166,0.06626506,338,0.001209921,400,3512,1431,4745,8265,22615,,,30.8,0.93373494,0
01113,Russell County,1,Alabama,0,0,3,205,0.029268293,790,0.003290827,700,17443,2049,6850,24310,58635,0,0,31.7,0.970731707,0
01115,St. Clair County,1,Alabama,0,1,6,182,0.016483516,1313,0.00186096,1325,23548,22980,14080,37615,86575,,,86.5,0.983516484,21
01117,Shelby County,1,Alabama,0,1,9,343,0.017492711,5238,0.00182698,4820,50352,48873,50890,101260,205950,,,160.9,0.982507289,5
01119,Sumter County,1,Alabama,0,0,1,245,0.081632653,197,0.004761905,85,1476,918,2725,4200,13285,,,27.2,0.918367347,27.2
01121,Talladega County,1,Alabama,0,3,2,243,0.04526749,1256,0.006161532,560,11055,10534,18965,30025,81055,,,143.7,0.95473251,10.7
01123,Tallapoosa County,1,Alabama,0,1,2,152,0.118421053,771,0.001341832,470,4889,4592,10020,14905,40960,,,33.1,0.881578947,0
01125,Tuscaloosa County,1,Alabama,0,1,4,480,0.027083333,4111,0.003829691,2680,8734,8125,79995,88780,202470,2,0,107.1,0.972916667,41.7
01127,Walker County,1,Alabama,0,1,2,273,0.062271062,1232,0.003211991,305,7546,7197,15780,23350,65595,0,0,112,0.937728938,0
01129,Washington County,1,Alabama,0,1,2,179,0.122905028,208,0,70,3019,2398,2505,5535,16910,1,0,28.5,0.877094972,0
01131,Wilcox County,1,Alabama,0,1,0,168,0.160714286,185,0.001351351,100,1024,1006,1940,2960,11120,0,0,53.2,0.839285714,0
01133,Winston County,1,Alabama,0,3,1,79,0.063291139,447,0,230,3539,3433,4930,8470,24015,,,22.8,0.936708861,0
02013,Aleutians East Borough,2,Alaska,2,10,1,2,0,58,0.001626016,60,8,8,2455,2460,3300,22,0,,1,
02016,Aleutians West Census Area,2,Alaska,3,2,4,,,113,0.000973236,85,35,16,4085,4110,5715,25,0,,,
02020,Anchorage Municipality,2,Alaska,1,7,17,129,0.062015504,8759,0.01792423,6075,6493,5830,151495,158110,299320,5,0,108.6,0.937984496,100.7
02050,Bethel Census Area,2,Alaska,6,31,7,6,0.166666667,251,0.005008636,255,40,40,5755,5790,17885,3,0,,0.833333333,
02060,Bristol Bay Borough,2,Alaska,1,2,1,3,0.666666667,85,0.007407407,20,31,31,510,540,940,5,0,,0.333333333,
02068,Denali Borough,2,Alaska,0,9,5,23,0,111,0.007575758,300,79,79,1235,1320,2125,,,83.1,1,80.9
02070,Dillingham Census Area,2,Alaska,1,13,6,11,0.272727273,98,0.010582011,145,12,12,1875,1890,4980,3,0,,0.727272727,
02090,Fairbanks North Star Borough,2,Alaska,1,1,20,98,0.102040816,2492,0.010663048,1590,1541,1359,50010,51580,100150,1,0,77.4,0.897959184,36.5
02100,Haines Borough,2,Alaska,1,2,5,13,0.153846154,140,0.015503876,110,101,87,1185,1290,2530,8,0,,0.846153846,
02105,Hoonah-Angoon Census Area,2,Alaska,2,7,1,,,84,0.019704433,120,79,79,930,1015,2105,,,,,
02110,Juneau City and Borough,2,Alaska,1,3,6,53,0.056603774,1159,0.04002274,540,206,178,17380,17590,32525,20,0,,0.943396226,
02122,Kenai Peninsula Borough,2,Alaska,3,16,47,86,0.139534884,2155,0.009687185,1905,1853,1695,22920,24775,57635,18,0,52.9,0.860465116,51.7
02130,Ketchikan Gateway Borough,2,Alaska,1,3,6,92,0.173913043,608,0.031734317,195,78,66,6675,6775,13715,23,0,,0.826086957,
02150,Kodiak Island Borough,2,Alaska,1,11,8,24,0.041666667,477,0.007213115,405,49,49,7555,7625,13920,21,0,,0.958333333,
02158,Kusilvak Census Area,2,Alaska,4,8,2,,,79,0,100,24,24,2095,2110,7995,,,,,
02164,Lake and Peninsula Borough,2,Alaska,1,18,7,6,0,51,0.006779661,25,32,32,570,590,1410,,,,1,
02170,Matanuska-Susitna Borough,2,Alaska,0,27,163,115,0.060869565,2297,0.010751898,2500,14666,14543,26140,40830,98680,0,0,201.3,0.939130435,193.8
02180,Nome Census Area,2,Alaska,8,13,8,30,0.066666667,172,0.002315485,150,20,16,3445,3455,9880,2,0,,0.933333333,
02185,North Slope Borough,2,Alaska,5,8,20,48,0,163,0.019886364,695,89,74,5195,5280,9680,,,,1,
02188,Northwest Arctic Borough,2,Alaska,5,8,5,,,81,0.001619433,125,42,42,2440,2470,7725,1,0,,,
02195,Petersburg Borough,2,Alaska,1,1,1,,,157,0.011356467,50,123,119,1455,1585,3195,,,,,
02198,Prince of Wales-Hyder Census Area,2,Alaska,0,17,10,,,165,0.01302682,130,100,80,2515,2610,6375,,,,,
02220,Sitka City and Borough,2,Alaska,1,4,2,35,0.142857143,378,0.015811966,190,82,55,4595,4680,8920,11,0,,0.857142857,
02230,Skagway Municipality,2,Alaska,1,0,0,,,120,0.011940299,40,26,26,645,670,1015,,,18.4,,18.4
02240,Southeast Fairbanks Census Area,2,Alaska,0,10,12,71,0.098591549,177,0.006837607,350,113,113,2815,2925,6970,,,,0.901408451,
02261,Valdez-Cordova Census Area,2,Alaska,2,21,17,108,0.083333333,504,0.002219756,155,87,79,4430,4505,9520,26,0,3.1,0.916666667,3.1
02275,Wrangell City and Borough,2,Alaska,1,2,0,,,98,0.009661836,90,43,43,990,1035,2400,,,,,
02282,Yakutat City and Borough,2,Alaska,1,9,0,3,0,28,0.011428571,15,12,8,340,350,645,4,0,,1,
02290,Yukon-Koyukuk Census Area,2,Alaska,3,48,13,73,0.109589041,101,0.001975309,150,148,148,1880,2025,5600,1,0,38.3,0.890410959,38.3
04001,Apache County,4,Arizona,0,4,1,256,0.03125,458,0.011631127,1110,4011,1924,14060,18055,72345,,,124,0.96875,53.7
04003,Cochise County,4,Arizona,0,7,22,501,0.025948104,2178,0.005503993,2360,2294,1839,43905,46330,128175,,,139.3,0.974051896,101.6
04005,Coconino County,4,Arizona,1,4,11,403,0.024813896,3746,0.016557223,3270,5054,3424,58750,63960,138065,,,285.6,0.975186104,196.2
04007,Gila County,4,Arizona,0,4,2,260,0.034615385,1019,0.002285061,950,2429,2385,15085,17505,53180,,,41.3,0.965384615,0
04009,Graham County,4,Arizona,0,1,7,168,0.047619048,510,0.009943796,355,2278,2240,9275,11565,37530,,,90.2,0.952380952,0
04011,Greenlee County,4,Arizona,0,1,1,89,0.056179775,83,0,70,248,206,3300,3545,9225,,,41.2,0.943820225,0
04012,La Paz County,4,Arizona,0,1,7,302,0.052980132,337,0.003192338,510,769,185,5495,6265,20305,,,75.1,0.947019868,0
04013,Maricopa County,4,Arizona,1,10,96,2702,0.001480385,94566,0.022589312,112860,39057,20545,1803760,1844235,4088550,,,296.2,0.998519615,68.9
04015,Mohave County,4,Arizona,0,7,19,623,0.016051364,3784,0.006422509,1900,12455,1008,52920,65395,203630,,,122.8,0.983948636,119.5
04017,Navajo County,4,Arizona,1,8,5,267,0.033707865,1770,0.010749289,2105,2928,2334,28685,31630,108210,,,118.5,0.966292135,54.7
04019,Pima County,4,Arizona,1,4,15,1085,0.025806452,20300,0.028234183,19865,13293,9440,409820,423600,1003340,,,121.6,0.974193548,86.2
04021,Pinal County,4,Arizona,0,8,15,704,0.015625,3713,0.002413208,7635,68661,67085,69570,138405,397605,,,200.7,0.984375,69.3
04023,Santa Cruz County,4,Arizona,0,1,0,133,0.015037594,1153,0.003193961,965,2183,2125,14795,17220,46545,,,30.2,0.984962406,0
04025,Yavapai County,4,Arizona,1,4,20,540,0.012962963,5985,0.004073823,5745,6998,6125,73950,81005,218585,,,213.9,0.987037037,48.4
04027,Yuma County,4,Arizona,0,2,6,261,0.038314176,3037,0.014383654,2385,3693,485,70475,74390,203290,,,114,0.961685824,86
05001,Arkansas County,5,Arkansas,0,2,3,157,0.01910828,502,0.002542912,210,594,575,7260,7865,18570,,,19.7,0.98089172,0
05003,Ashley County,5,Arkansas,0,1,2,103,0,373,0.001909612,210,1292,882,6550,7855,20990,,,53.9,1,0
05005,Baxter County,5,Arkansas,0,1,6,82,0,1047,0.004320372,430,2198,1910,12855,15045,40990,,,35.2,1,0
05007,Benton County,5,Arkansas,1,3,18,385,0.072727273,6408,0.001130885,4835,18335,15192,95710,114070,245230,,,64.4,0.927272727,0
05009,Boone County,5,Arkansas,1,0,2,97,0.030927835,883,0,400,2328,1259,12605,14915,37300,,,30,0.969072165,0
05011,Bradley County,5,Arkansas,0,1,1,109,0.009174312,258,0.003811944,230,1108,1089,2815,3935,11095,,,38.2,0.990825688,0
05013,Calhoun County,5,Arkansas,0,1,0,109,0.036697248,57,0.001851852,55,1364,1334,790,2160,5210,,,37.1,0.963302752,0
05015,Carroll County,5,Arkansas,0,2,8,115,0.034782609,709,0.000359874,435,1982,1182,9135,11115,27690,,,,0.965217391,
05017,Chicot County,5,Arkansas,0,2,2,90,0.011111111,208,0.013661202,45,1079,579,2575,3660,11190,,,48.7,0.988888889,0
05019,Clark County,5,Arkansas,0,2,1,204,0.034313725,511,0.004540868,390,2899,2802,7020,9910,22685,,,34.9,0.965686275,29.6
05021,Clay County,5,Arkansas,0,3,2,203,0.064039409,287,0,130,2421,1650,3760,6175,15200,,,37.6,0.935960591,19.4
05023,Cleburne County,5,Arkansas,0,1,7,52,0,579,0,450,2783,2532,6820,9625,25585,,,,1,
05025,Cleveland County,5,Arkansas,,,,84,0.011904762,80,0.006349206,30,2336,2288,815,3150,8420,,,21.3,0.988095238,0
05027,Columbia County,5,Arkansas,0,1,1,132,0.015151515,540,0.00040282,215,1885,1240,8045,9930,24170,,,47.1,0.984848485,0
05029,Conway County,5,Arkansas,0,2,4,122,0.008196721,401,0.007907543,220,3460,3336,4755,8220,21060,1,0,22,0.991803279,0
05031,Craighead County,5,Arkansas,1,0,5,436,0.04587156,2528,0.003138528,1615,5450,4623,40740,46200,102885,,,70.9,0.95412844,0
05033,Crawford County,5,Arkansas,0,0,1,248,0.100806452,1072,0.00198334,500,13183,12585,12030,25210,61925,1,0,56.1,0.899193548,32.3
05035,Crittenden County,5,Arkansas,0,1,3,234,0.02991453,840,0.003514938,515,7974,1112,11950,19915,49510,,,88.5,0.97008547,0
05037,Cross County,5,Arkansas,0,0,3,129,0.062015504,358,0.001428571,275,2267,1779,4730,7000,17330,,,69.8,0.937984496,0
05039,Dallas County,5,Arkansas,0,1,1,110,0.063636364,192,0.001372213,45,1243,1229,1670,2915,7740,,,7.3,0.936363636,0
05041,Desha County,5,Arkansas,0,2,2,83,0.024096386,300,0.000914286,55,1037,944,3335,4375,12235,1,0,48.2,0.975903614,0
05043,Drew County,5,Arkansas,0,1,2,147,0.027210884,401,0,165,2146,2014,5130,7280,18690,,,40.5,0.972789116,0
05045,Faulkner County,5,Arkansas,0,1,10,210,0.014285714,2577,0.001596594,1845,17422,16657,38970,56370,120415,0,0,19.4,0.985714286,0
05047,Franklin County,5,Arkansas,0,1,3,140,0.085714286,285,0.007836991,350,2879,2707,3510,6380,17800,0,0,24.7,0.914285714,0
05049,Fulton County,5,Arkansas,0,1,1,102,0.049019608,161,0.004678363,150,1814,1211,2450,4275,12185,,,13.9,0.950980392,0
05051,Garland County,5,Arkansas,1,0,3,300,0.02,2765,0.004226976,1910,5407,4840,33615,39035,97120,,,23.3,0.98,0
05053,Grant County,5,Arkansas,0,1,0,119,0,268,0.001312336,275,4468,4383,3170,7620,18045,,,,1,
05055,Greene County,5,Arkansas,0,1,2,246,0.056910569,791,0.000224278,360,4680,4277,13160,17835,43745,,,32.8,0.943089431,9.7
05057,Hempstead County,5,Arkansas,0,1,2,175,0.022857143,384,0.001768868,310,2151,1754,6335,8480,22210,,,80.1,0.977142857,21.7
05059,Hot Spring County,5,Arkansas,0,1,2,222,0.067567568,499,0.005723006,255,6105,6002,7015,13105,33440,,,38.5,0.932432432,26.3
05061,Howard County,5,Arkansas,0,1,2,117,0.034188034,282,0.015873016,285,1174,950,4185,5355,13485,,,43.4,0.965811966,0
05063,Independence County,5,Arkansas,0,1,2,183,0.010928962,782,0,435,2186,1885,13195,15375,37030,,,51.3,0.989071038,1
05065,Izard County,5,Arkansas,0,3,2,98,0.020408163,221,0,190,1475,1385,2975,4460,13460,,,41.7,0.979591837,0
05067,Jackson County,5,Arkansas,0,1,3,136,0.014705882,313,0.002798507,165,1431,1388,3930,5360,17495,,,42.1,0.985294118,36.4
05069,Jefferson County,5,Arkansas,0,1,4,347,0.040345821,1316,0.005045786,600,4608,4263,22125,26755,72385,8,0,92.4,0.959654179,0
05071,Johnson County,5,Arkansas,0,1,1,158,0.018987342,401,0.00444664,525,2034,1977,8095,10120,26025,,,27.1,0.981012658,0
05073,Lafayette County,5,Arkansas,,,,72,0.041666667,106,0.004106776,100,1177,778,1260,2435,7125,,,40.9,0.958333333,0
05075,Lawrence County,5,Arkansas,0,1,1,127,0.062992126,287,0.002216944,205,2454,2286,3870,6315,16915,,,62.4,0.937007874,23.1
05077,Lee County,5,Arkansas,0,1,2,98,0.06122449,115,0.001473297,55,1268,1254,1445,2715,9780,,,19.4,0.93877551,0
05079,Lincoln County,5,Arkansas,0,1,0,110,0.027272727,171,0,80,1536,1493,1595,3140,13935,,,13.6,0.972727273,0
05081,Little River County,5,Arkansas,0,0,2,86,0.093023256,175,0,55,2292,975,2295,4590,12615,,,85.4,0.906976744,0
05083,Logan County,5,Arkansas,0,2,1,153,0.065359477,380,0.00539892,445,2984,2740,5330,8335,21935,,,,0.934640523,
05085,Lonoke County,5,Arkansas,0,1,11,185,0.048648649,1048,0.001831502,925,20322,20049,12440,32760,71280,,,13.4,0.951351351,13.4
05087,Madison County,5,Arkansas,0,1,3,148,0.216216216,211,0.001510574,320,3325,3279,3290,6620,15760,,,,0.783783784,
05089,Marion County,5,Arkansas,0,1,4,63,0.015873016,210,0.001874414,230,2257,2188,3080,5335,16405,,,23.8,0.984126984,0
05091,Miller County,5,Arkansas,1,0,2,215,0.004651163,739,0.002790179,315,10008,1025,7905,17920,43665,,,46.6,0.995348837,18.8
05093,Mississippi County,5,Arkansas,0,4,3,310,0.090322581,794,0.000598444,285,1475,883,15250,16710,44200,3,0,73.4,0.909677419,0
05095,Monroe County,5,Arkansas,0,3,0,86,0.046511628,192,0,100,910,867,1950,2870,7540,,,37.7,0.953488372,0
05097,Montgomery County,5,Arkansas,0,1,0,202,0.02970297,131,0.001225115,75,1538,1458,1720,3265,9100,,,,0.97029703,
05099,Nevada County,5,Arkansas,0,1,0,134,0.059701493,121,0,110,1636,1556,1455,3100,8670,,,16.5,0.940298507,13.8
05101,Newton County,5,Arkansas,0,0,1,63,0.047619048,83,0.006802721,155,1410,1308,1530,2940,7990,,,,0.952380952,
05103,Ouachita County,5,Arkansas,0,1,2,167,0.017964072,513,0.006965174,130,2811,2624,7240,10050,24730,,,67.8,0.982035928,0
05105,Perry County,5,Arkansas,0,0,1,118,0.033898305,96,0.001017812,250,2681,2654,1250,3930,10245,,,36,0.966101695,0
05107,Phillips County,5,Arkansas,0,1,4,113,0.230088496,389,0.000609292,145,1290,612,5260,6565,19930,5,0,18.4,0.769911504,0
05109,Pike County,5,Arkansas,0,0,2,94,0.053191489,202,0.006741573,95,2033,1897,2420,4450,11015,,,,0.946808511,
05111,Poinsett County,5,Arkansas,0,1,4,200,0.13,351,0.000441501,305,4336,4048,4715,9060,24130,,,61.1,0.87,0
05113,Polk County,5,Arkansas,0,1,0,220,0.118181818,447,0.005633803,285,795,487,6290,7100,20290,,,62.2,0.881818182,0
05115,Pope County,5,Arkansas,0,1,2,192,0.010416667,1598,0.001852881,665,4416,4068,22550,26985,63105,2,0,31.6,0.989583333,0
05117,Prairie County,5,Arkansas,0,2,3,93,0.129032258,149,0,180,1613,1589,1730,3325,8335,,,4.4,0.870967742,0
05119,Pulaski County,5,Arkansas,1,1,16,708,0.026836158,12245,0.010116969,5175,12284,10953,167975,180390,391805,3,0,136.9,0.973163842,29.6
05121,Randolph County,5,Arkansas,0,1,1,150,0.04,314,0,75,2430,2013,4350,6775,17585,,,2.7,0.96,2.5
05123,St. Francis County,5,Arkansas,0,1,3,205,0.029268293,459,0.001125492,275,2620,2094,6280,8885,27025,,,60.9,0.970731707,0
05125,Saline County,5,Arkansas,0,1,1,218,0.050458716,1967,0.001379437,1505,32311,31912,22070,54370,115575,,,24.4,0.949541284,21.1
05127,Scott County,5,Arkansas,0,1,0,196,0.045918367,151,0.002457002,190,1001,918,3055,4070,10660,,,22.6,0.954081633,0
05129,Searcy County,5,Arkansas,0,1,0,65,0.030769231,111,0.003372681,110,1040,950,1930,2965,7940,,,,0.969230769,
05131,Sebastian County,5,Arkansas,1,0,3,328,0.054878049,3415,0.00414174,1050,9324,6255,44990,54325,127350,0,0,36.6,0.945121951,0
05133,Sevier County,5,Arkansas,0,1,1,164,0.085365854,256,0.001408451,150,2476,1615,4625,7100,17195,,,56.1,0.914634146,0
05135,Sharp County,5,Arkansas,0,1,0,109,0.036697248,310,0,185,2453,2233,3330,5800,17025,,,16.8,0.963302752,0
05137,Stone County,5,Arkansas,0,1,1,73,0,226,0,270,899,824,3340,4255,12505,,,,1,
05139,Union County,5,Arkansas,1,1,2,285,0.014035088,1087,0.00125,205,1470,938,14525,16000,40335,0,0,39.9,0.985964912,0
05141,Van Buren County,5,Arkansas,0,1,2,98,0.030612245,310,0,250,1863,1723,3535,5400,16890,,,,0.969387755,
05143,Washington County,5,Arkansas,0,2,7,447,0.040268456,5442,0.009366204,4085,20020,18079,82910,103030,219930,,,37.3,0.959731544,24.9
05145,White County,5,Arkansas,0,2,8,308,0.016233766,1587,0.001968442,915,8986,8356,23030,32005,78825,,,54.3,0.983766234,39
05147,Woodruff County,5,Arkansas,0,1,5,78,0.025641026,127,0.01026694,45,745,737,1695,2435,6875,2,0,36.8,0.974358974,0
05149,Yell County,5,Arkansas,0,1,4,227,0.026431718,308,0.003478261,340,4181,4088,4430,8625,21715,,,17.4,0.973568282,0
06001,Alameda County,6,California,1,2,7,650,0.066153846,40095,0.142358002,43890,268342,266144,467980,736980,1605215,14,0,200.3,0.933846154,155.8
06003,Alpine County,6,California,0,1,1,32,0.0625,37,0,65,183,74,225,400,1185,,,,0.9375,
06005,Amador County,6,California,0,1,6,60,0.066666667,842,0.000656007,690,3915,3836,8285,12195,36965,,,4.3,0.933333333,0
06007,Butte County,6,California,0,3,8,437,0.059496568,4724,0.012428929,5160,7576,7342,80320,87940,223875,,,96.7,0.940503432,45.9
06009,Calaveras County,6,California,0,1,3,105,0.123809524,924,0.008440138,1235,7089,6954,8915,15995,44785,,,,0.876190476,
06011,Colusa County,6,California,0,1,11,212,0.117924528,372,0.003353829,440,2223,2219,6720,8945,21360,,,34.4,0.882075472,0
06013,Contra Costa County,6,California,1,1,4,607,0.059308072,23951,0.103290324,29745,216371,214679,289535,506485,1107925,19,0,183.9,0.940691928,84
06015,Del Norte County,6,California,0,3,0,95,0.157894737,411,0.007742704,515,524,134,7870,8395,27630,0,0,,0.842105263,
06017,El Dorado County,6,California,0,4,8,184,0.10326087,4516,0.017204989,6230,34433,30934,43720,78175,183000,,,,0.89673913,
06019,Fresno County,6,California,1,6,25,897,0.085841695,16881,0.012971314,16115,32524,31516,335565,368120,963160,,,183.5,0.914158305,33.6
06021,Glenn County,6,California,0,2,1,241,0.091286307,452,0.003451677,480,3588,3562,6565,10140,27975,,,39.3,0.908713693,0
06023,Humboldt County,6,California,1,8,0,396,0.088383838,3209,0.019008767,4090,1235,938,56370,57605,135180,1,0,,0.911616162,
06025,Imperial County,6,California,1,4,7,450,0.115555556,2538,0.009092499,2295,4306,3281,52495,57190,178805,,,203.6,0.884444444,89.6
06027,Inyo County,6,California,0,7,2,70,0.042857143,501,0.011131725,320,971,918,7115,8085,18325,,,,0.957142857,
